Concatenation,Estimated resolicitation Date,ContractNumber,NDCWithDashes,Drug,Generic,TradeName,PackageDescription,Non-TAA,VendorName,5 Year option end, Price ,Offers,Estimated Annual Quantities,Estimated Annual Spend,ContractStartDate,ContractStopDate,5 Year option end,Contract Start Year,SubItemIdentifier,VAClass,Covered,PrimeVendor,PriceStartDate,PriceStopDate,PriceType
"36E79719D0020DIVALPROEX NA 250MG TAB,SA100",20-Feb-24,36E79719D0020,00378-0472-01,DIVALPROEX NA,"DIVALPROEX NA 250MG TAB,SA","DIVALPROEX NA 250MG TAB,SA",100,Compliant,"Mylan Pharmaceuticals, Inc.",18-Aug-24, $20.70 , 2.00 ," 38,418.00 "," $795,252.60 ",08/18/2019,08/17/2024,2024,2019,,CN400,F,T,08/18/2019,08/17/2024,NC
"36E79719D0020DIVALPROEX NA 250MG TAB,SA500",20-Feb-24,36E79719D0020,00378-0472-05,DIVALPROEX NA,"DIVALPROEX NA 250MG TAB,SA","DIVALPROEX NA 250MG TAB,SA",500,Compliant,"Mylan Pharmaceuticals, Inc.",18-Aug-24, $103.50 , 2.00 ," 18,286.00 "," $1,892,601.00 ",08/18/2019,08/17/2024,2024,2019,,CN400,F,T,08/18/2019,08/17/2024,NC
"36E79719D0020DIVALPROEX NA 500MG TAB,SA100",20-Feb-24,36E79719D0020,00378-0473-01,DIVALPROEX NA,"DIVALPROEX NA 500MG TAB,SA","DIVALPROEX NA 500MG TAB,SA",100,Compliant,"Mylan Pharmaceuticals, Inc.",18-Aug-24, $40.41 , 2.00 ," 56,981.00 "," $2,302,602.21 ",08/18/2019,08/17/2024,2024,2019,,CN400,F,T,08/18/2019,08/17/2024,NC
"36E79719D0020DIVALPROEX NA 500MG TAB,SA500",20-Feb-24,36E79719D0020,00378-0473-05,DIVALPROEX NA,"DIVALPROEX NA 500MG TAB,SA","DIVALPROEX NA 500MG TAB,SA",500,Compliant,"Mylan Pharmaceuticals, Inc.",18-Aug-24, $202.03 , 2.00 ," 67,263.00 "," $13,589,143.89 ",08/18/2019,08/17/2024,2024,2019,,CN400,F,T,08/18/2019,08/17/2024,NC
36E79719D0023PROPRANOLOL HCL 10MG TAB100,13-Feb-24,36E79719D0023,51407-0235-01, PROPRANOLOL HCL ,PROPRANOLOL HCL 10MG TAB,PROPRANOLOL HCL 10MG TAB,100,Compliant,"Golden State Medical Supply, Inc.",11-Aug-24, $6.35 , 1.00 ," 16,664.00 "," $105,816.40 ",08/11/2019,08/10/2024,2024,2019,,CV100,F,T,08/11/2019,08/10/2024,NC
36E79719D0023PROPRANOLOL HCL 10MG TAB1000,13-Feb-24,36E79719D0023,51407-0235-10,PROPRANOLOL HCL ,PROPRANOLOL HCL 10MG TAB,PROPRANOLOL HCL 10MG TAB,1000,Compliant,"Golden State Medical Supply, Inc.",11-Aug-24, $60.00 , 1.00 ," 18,586.00 "," $1,115,160.00 ",08/11/2019,08/10/2024,2024,2019,,CV100,F,T,08/11/2019,08/10/2024,NC
36E79719D0023PROPRANOLOL HCL 20MG TAB100,13-Feb-24,36E79719D0023,51407-0236-01,PROPRANOLOL HCL ,PROPRANOLOL HCL 20MG TAB,PROPRANOLOL HCL 20MG TAB,100,Compliant,"Golden State Medical Supply, Inc.",11-Aug-24, $7.70 , 1.00 ," 7,420.00 "," $57,134.00 ",08/11/2019,08/10/2024,2024,2019,,CV100,F,T,08/11/2019,08/10/2024,NC
36E79719D0023PROPRANOLOL HCL 20MG TAB1000,13-Feb-24,36E79719D0023,51407-0236-10,PROPRANOLOL HCL ,PROPRANOLOL HCL 20MG TAB,PROPRANOLOL HCL 20MG TAB,1000,Compliant,"Golden State Medical Supply, Inc.",11-Aug-24, $74.00 , 1.00 ," 16,268.00 "," $1,203,832.00 ",08/11/2019,08/10/2024,2024,2019,,CV100,F,T,08/11/2019,08/10/2024,NC
36E79719D0023PROPRANOLOL HCL 40MG TAB100,13-Feb-24,36E79719D0023,51407-0237-01,PROPRANOLOL HCL ,PROPRANOLOL HCL 40MG TAB,PROPRANOLOL HCL 40MG TAB,100,Compliant,"Golden State Medical Supply, Inc.",11-Aug-24, $10.65 , 1.00 ," 11,295.00 "," $120,291.75 ",08/11/2019,08/10/2024,2024,2019,,CV100,F,T,08/11/2019,08/10/2024,NC
36E79719D0023PROPRANOLOL HCL 40MG TAB1000,13-Feb-24,36E79719D0023,51407-0237-10,PROPRANOLOL HCL ,PROPRANOLOL HCL 40MG TAB,PROPRANOLOL HCL 40MG TAB,1000,Compliant,"Golden State Medical Supply, Inc.",11-Aug-24, $104.00 , 1.00 ," 11,384.00 "," $1,183,936.00 ",08/11/2019,08/10/2024,2024,2019,,CV100,F,T,08/11/2019,08/10/2024,NC
